id,revenue,gas_fee_base_raw,profit
6050,265171333,7062601,258108732
6051,34201109,8492768,25708341
6052,34199000,7078286,27120714
6053,82204077,12675706,69528371
6054,38592656,11193556,27399100
6501,27081567,4152002,22929565
440,0,6677499,-6677499
427,0,6677499,-6677499
12111,55594700,5698645,49896055
12112,103761579,5915393,97846186
12113,66737157,5215480,61521677
396,0,25856364,-25856364
423,0,25856364,-25856364
432,0,25856364,-25856364
395,0,32491417,-32491417
422,0,32491417,-32491417
431,0,32491417,-32491417
12114,547891009,6979874,540911135
6055,38630456,7111719,31518737
12115,314404977,12720375,301684602
6056,626214945,127120732,499094213
6057,1103501889,12845667,1090656222
12116,193276932,85879117,107397815
6058,1169320940,126687005,1042633935
6059,953627907,31697227,921930680
6060,60264700,63248047,-2983347
6061,304498475,33543709,270954766
6062,50184249,13890615,36293634
6063,217234354,69366893,147867461
6064,44243840,88097582,-43853742
12117,25407215,8344573,17062642
6065,130866948,9743627,121123321
12118,108914422,8970839,99943583
6066,28050081,7732916,20317165
6067,71080900,7845092,63235808
6502,95577254,22706652,72870602
12119,2921269012,8225943,2913043069
12120,42252947,11140437,31112510
6503,99848831,14265473,85583358
12121,176911507,6314338,170597169
6504,6839824,4271765,2568059
12122,71818235,3531968,68286267
12123,39699279,11144008,28555271
12124,21269120,10769009,10500111
6505,21291125,12360334,8930791
6068,661627927,125132686,536495241
6994,40880199,13043926,27836273
437,0,20434138,-20434138
430,0,20434138,-20434138
12125,65446382,12206397,53239985
12126,1342561225,3806648,1338754577
12127,182969208,9625231,173343977
12128,450634511,8218152,442416359
6069,72622728,5207452,67415276
6506,29496798,4606605,24890193
6507,134160010,5707335,128452675
6070,2813216131,10449789,2802766342
6071,1176407069,46852853,1129554216
12129,103361336,9834340,93526996
6072,1560077623,8991525,1551086098
6073,183647154,8532494,175114660
12130,694181716,8469858,685711858
12131,89747347,4724624,85022723
6074,197565971,7726169,189839802
12132,1236397907,7612748,1228785159
6075,214505928,10092273,204413655
12133,98194051,7465251,90728800
12134,214720505,11023256,203697249
6076,1175679519,23228856,1152450663
7989,27734982,6037401,21697581
12135,136157153,4802116,131355037
12136,270118466,12367162,257751304
12137,270645717,4119798,266525919
12138,554749640,7079885,547669755
12139,95356044,7295977,88060067
6078,3300001800,8720077,3291281723
426,0,11880747,-11880747
388,0,11880747,-11880747
389,0,11880747,-11880747
398,0,11880747,-11880747
12856,37697148,11754547,25942601
12857,37697148,11754547,25942601
12858,37697148,11754547,25942601
12852,37697148,11754547,25942601
12853,37697148,11754547,25942601
12854,37697148,11754547,25942601
12855,37697148,11754547,25942601
12859,272301788,30634187,241667601
12860,272301788,30634187,241667601
12861,272301788,30634187,241667601
12862,272301788,30634187,241667601
12863,272301788,30634187,241667601
12864,272301788,30634187,241667601
399,0,15455563,-15455563
408,0,15455563,-15455563
12865,0,10071879,-10071879
12875,167413841,12661003,154752838
12876,167413841,12661003,154752838
12877,167413841,12661003,154752838
12878,167413841,12661003,154752838
12866,167413841,12661003,154752838
12867,167413841,12661003,154752838
12868,167413841,12661003,154752838
12869,167413841,12661003,154752838
12870,167413841,12661003,154752838
12871,167413841,12661003,154752838
12872,167413841,12661003,154752838
12873,167413841,12661003,154752838
12874,167413841,12661003,154752838
12879,30341440,13732315,16609125
12880,30341440,13732315,16609125
12881,30341440,13732315,16609125
12882,30341440,13732315,16609125
12883,30341440,13732315,16609125
12884,30341440,13732315,16609125
12885,30341440,13732315,16609125
12886,169555365,38289446,131265919
12887,169555365,38289446,131265919
12888,0,14952932,-14952932
12889,0,14952932,-14952932
12890,223483799,47766107,175717692
12891,223483799,47766107,175717692
12892,223483799,47766107,175717692
12893,223483799,47766107,175717692
12894,0,10462832,-10462832
12895,0,10462832,-10462832
