name,logo_url
uniswap,https://raw.githubusercontent.com/PeterTakahashi/crypto-logos/refs/heads/main/uniswap-uni-logo.png
sushiswap,https://raw.githubusercontent.com/PeterTakahashi/crypto-logos/refs/heads/main/sushiswap-sushi-logo.png
pancakeswap,https://raw.githubusercontent.com/PeterTakahashi/crypto-logos/refs/heads/main/pancakeswap-cake-logo.png
